"country","Population","gdp_usd","gdp_level","Hofstede_IDV","Hofstede_UAI","Hofstede_LTO","IDV_class","UAI_class","LTO_class","yes_flex","meat_replies","yes_reduce_carbon","emissions_replies","meat_pct_change","processed_pct_change","DPI_pct_change","veg_pct_pop_change"
"Argentina",44884,18.556,"Low",46,86,20,"Low","High","Low",17.4,1017,29.2,655,2.70616157855545,14.6378460371635,62.4379631893841,9.91215679350224
"Australia",25680,49.831,"High",90,51,21,"High","High","Low",8.1,1001,31.3,610,-1.03624513527453,-0.931966449207838,5.08151202457631,2.75796131499597
"Brazil",212583,14.034,"Low",38,76,44,"Low","High","Low",13.3,1004,33.7,825,-1.19420312864352,0.255051991367469,14.8579343491347,0.509869082235643
"Canada",37855,44.869,"High",80,48,36,"High","Low","Low",9,1022,32.5,640,3.66394993450735,11.4979338842975,3.03082337571091,7.04234457493805
"Chile",19101,22.105,"Medium",23,86,31,"Low","High","Low",18.5,1003,36.7,694,2.40441110006329,16.2629757785467,31.1894157873497,0.41145208297617
"China",1400050,13.102,"Low",20,30,87,"Low","Low","High",6.3,1019,31.5,669,18.8334050796384,5.98578332473137,9.54451347564226,0.144669821272492
"Colombia",50864,13.545,"Low",13,80,13,"Low","High","Low",15.5,1040,40,818,1.66675267041643,4.91423273064442,20.2377906673534,1.13790300731508
"Germany",83167,46.178,"High",67,65,83,"High","High","High",15.4,1035,35.7,594,-0.950390280544769,-0.126927416321908,2.73476085553025,0.176752798585963
"Denmark",5823,46.312,"High",74,23,35,"High","Low","Low",7,1009,25,590,1.80577849117175,2.39726027397261,3.50010238456367,3.60618202633084
"Spain",47330,31.497,"Medium",51,86,48,"High","High","Low",11.3,1037,37.5,666,-4.39878155815995,3.1999226604795,3.01205301832785,3.97846245886929
"France",64898,38.516,"Medium",71,86,63,"High","High","High",9,1007,23.1,656,0.813471338587656,-0.389705285377934,3.9565303141223,0.171979608132201
"United Kingdom",67026,38.058,"Medium",89,35,51,"High","Low","High",10.3,1003,34.6,652,0.282645562464653,5.00813822461499,3.67783636551618,5.02411436105618
"Hong Kong, China",7543,50.839,"High",25,29,61,"Low","Low","High",8.4,1009,33.3,547,7.62477645911234,9.59860383944153,5.45235333758143,0.881445570735992
"India",1349810,6.807,"Low",48,40,51,"Low","Low","High",16.3,1002,40,809,15.371963221614,7.97227036395145,16.2850739142881,0.40018271871508
"Italy",60245,34.364,"Medium",76,75,61,"High","High","High",12.5,1042,32.5,735,3.72418029639868,3.47997937789999,3.7419600083131,5.94563026318269
"Japan",125765,38.674,"High",46,92,88,"Low","High","High",4.4,1009,31.5,330,1.08309797113466,-3.32953778677462,1.50235529371692,-0.514859560585207
"South Korea",51781,37.928,"Medium",18,85,100,"Low","High","High",7.4,1015,41.6,634,8.21329515970296,1.81232860379157,7.01560335241177,1.27966047199537
"Morocco",36911,8.451,"Low",46,68,14,"Low","High","Low",9.2,1011,32.1,701,2.21263679207602,4.68119451170297,10.324286297826,0.950000000000019
"Mexico",127095,16.494,"Low",30,82,24,"Low","High","Low",13.8,1028,37.7,746,4.26667498985611,3.8060715903942,16.3033306593941,1.6033793604651
"Malaysia",32657,24.842,"Medium",26,36,41,"Low","Low","Low",12.7,1099,40.9,717,6.42699231498053,-2.31660231660232,4.28216697091694,1.23249299719888
"Netherlands",17408,47.474,"High",80,53,67,"High","High","High",17.1,1029,28.8,588,1.59059474412171,7.22245150639702,9.2054985963776,0.390625000000009
"New Zealand",4967,35.336,"Medium",79,49,33,"High","Low","Low",10.1,1092,32,643,2.94972067039105,2.42966751918158,4.53996828300651,1.25661375661376
"Peru",32972,12.31,"Low",16,87,25,"Low","High","Low",16.3,1007,33,736,3.37718001773574,-7.0878274268105,15.838719688819,0.764276513525139
"Philippines",109581,8.139,"Low",32,44,27,"Low","Low","Low",13.6,1011,45.5,797,9.47416137805984,5.5950623909835,8.45789504825412,1.5063731170336
"Poland",38383,27.455,"Medium",60,93,38,"High","High","Low",11.1,1007,39.3,723,2.72482578076032,4.40935192780969,13.2121609737713,5.23507071765324
"Singapore",5707,68.402,"High",20,8,72,"Low","Low","High",14.2,1024,40.4,633,7.62548262548263,3.02158273381294,7.02281177456707,0.402010050251272
"Sweden",10328,45.542,"High",71,29,53,"High","Low","High",13.6,1031,33.5,577,4.3764125744812,4.2892156862745,4.88287435620129,4.26994577846633
"Thailand",69800,16.649,"Low",20,64,32,"Low","High","Low",7.7,1013,40.8,740,-3.03108275010293,5.44105523495466,0.208561612051797,0.172477516323777
"Turkey",83155,19.27,"Medium",37,85,46,"Low","High","Low",13.6,1034,34.6,671,2.37147859302882,14.8738379814077,40.2091251434185,0.250900408724874
"Taiwan",23603,44.664,"High",17,69,93,"Low","High","High",6.8,1015,42.7,551,7.89407472638068,-10.655147588193,1.11234992385832,-0.175523544365092
"USA",329627,55.335,"High",91,46,26,"High","Low","Low",8.6,1000,23.5,618,3.4080985648113,9.64879046771109,6.47135851156985,0.118249663652122
